name,ECIndex,fragCpx,fMF,VMcGowan,SLogP,SMR
CN1C(=S)S\\C(=C\\c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c4nsnc4c(cc3c3nsnc23)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c4nsnc4c(cc3c3nsnc23)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3\\SC(=S)N(C)C3=O)cc2C)C1=O,15794,8202.36,0.6116504854368932,1487.2199999999978,38.720399999999884,642.6080000000011
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4cc(F)c(C)s4)c4sc(cc4c(-c4cc(F)c(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,4418,2094.2,0.5517241379310345,834.9200000000016,21.734720000000035,353.9220000000006
CSc1ccc(s1)-c1c2cc(sc2c(-c2ccc(SC)s2)c2cc(sc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C,15940,8308.38,0.6057692307692307,1519.9199999999978,39.54735999999987,656.6960000000012
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,4336,2044.18,0.5517241379310345,831.4000000000016,21.456520000000037,354.0060000000006
CSc1ccc(s1)-c1c2cc(sc2c(-c2ccc(SC)s2)c2cc(sc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C,4422,2094.2,0.5423728813559322,864.1000000000013,22.283480000000033,368.0940000000006
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc([se]2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc([se]3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nsnc34)c3nsnc23)c2nsnc12,12020,6122.27,0.5953757225433526,1191.39,31.110340000000082,496.72100000000074
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc(s3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nsnc34)c3nsnc23)c2nsnc12,12020,6122.27,0.5953757225433526,1181.5900000000004,33.11934000000005,498.5950000000007
CN1C(=S)S\\C(=C/c2ccc(s2)-c2sc(cc2C)-c2sc(cc2C)-c2cc3c(-c4cc(C)c(C)s4)c4sc(cc4c(-c4cc(C)c(C)s4)c3s2)-c2cc(C)c(s2)-c2cc(C)c(s2)-c2ccc(\\C=C3/SC(=S)N(C)C3=O)s2)C1=O,4410,2094.18,0.5245901639344263,859.5800000000017,22.073360000000037,363.48000000000064
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc([se]2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc([se]2)-c2c(F)c(F)c(-c3ccc([se]3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc([se]3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nsnc34)c3nn(C)nc23)c2nsnc12,12081,6169.27,0.5819209039548022,1208.9099999999999,28.378340000000073,495.94100000000077
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,4914,2400.18,0.6,759.5400000000021,21.309840000000033,319.3260000000003
